Golfer,Nation,Region,driveDist,fairPct,greenReg,avePutts,sandPct,totPrize,events
A Lim Kim,Republic of Korea,Asia,274.74,68.96,74.4,30.22,45.26,747851,29
Aditi Ashok,India,Asia,235.1,79.82,63,29.22,56.38,178900,26
Agathe Laisne,France,Europe,254.66,73.44,64.9,30.44,46.77,41937,18
Alana Uriell,United States,North America,269.51,69.96,65.3,29.72,45.26,66506,21
Albane Valenzuela,Switzerland,Europe,265.21,70.39,70.7,30.46,36.49,340107,24
Alena Sharp,Canada,North America,265.94,71.56,70.1,29.77,50,95534,11
Alison Lee,United States,North America,262.27,68.71,70.6,29.52,48.24,688430,24
Allisen Corpuz,United States,North America,252.92,80.8,72.8,30.4,58.57,721135,24
Allison Emrey,United States,North America,247.01,70.45,59.7,29.4,46.75,95854,20
Ally Ewing,United States,North America,265.46,78.2,77.7,31.67,40.35,660511,21
Amanda Doherty,United States,North America,267.7,72.57,65.7,29.42,38.27,219674,20
Amy Olson,United States,North America,259.64,69.83,68.2,30.5,42.55,118865,23
Amy Yang,Republic of Korea,Asia,261.15,68.44,72.4,29.62,43.75,439097,20
Ana Belac,Slovenia,Europe,255.02,73.99,64.7,30.16,41.18,43755,19
Andrea Lee,United States,North America,241.33,86.78,72.9,29.31,54.84,1102543,21
Angel Yin,United States,North America,267.15,59.16,65,29.54,53.41,384589,25
Angela Stanford,United States,North America,255.86,69.43,61.5,29.9,39.34,69917,19
Anna Nordqvist,Sweden,Europe,246.41,81.15,74.6,30.64,30.3,1064670,21
Annie Park,United States,North America,258.12,76.27,68.9,30.63,41.03,204363,24
Ariya Jutanugarn,Thailand,Asia,258.67,70.29,70.5,29.99,49.47,405384,27
Ashleigh Buhai,South Africa,Africa,251.69,76.34,68.7,29.73,62.07,1553004,24
Atthaya Thitikul,Thailand,Asia,269.01,73.89,74.9,29.61,54.26,2193642,26
Ayaka Furue,Japan,Asia,248.65,84.04,72.4,29.57,46.53,957831,27
Bianca Pagdanganan,Philippines,Asia,277.05,65.02,66,30.63,40.79,116806,18
Brianna Do,United States,North America,243.84,75.39,62.5,30.25,37.84,51884,13
Brittany Altomare,United States,North America,245.7,77.43,69.8,29.78,61.04,368174,25
Brittany Lang,United States,North America,255.88,71.11,64.1,29.9,50,83418,15
Brittany Lincicome,United States,North America,258.72,80.41,67.5,30.28,61.11,106812,11
Bronte Law,England,Europe,250.62,75,67.9,30.49,53.25,461497,19
Brooke M. Henderson,Canada,North America,267.08,78.91,76.3,29.95,46.34,2413251,22
Brooke Matthews,United States,North America,275.28,63.25,60.8,29.91,33.33,38182,15
Carlota Ciganda,Spain,Europe,269.69,69.43,71.5,29.75,50.57,826614,24
Caroline Inglis,United States,North America,245.11,82.78,69.2,30.26,56,164798,17
Caroline Masson,Germany,Europe,246.45,78.78,70.6,30.24,48.15,425919,24
Casey Danielson,United States,North America,255.06,77.14,70.2,31.56,32.43,29513,17
Celine Boutier,France,Europe,254,73.96,73.9,29.56,43.24,1262754,24
Celine Herbin,France,Europe,263.33,71.11,67.6,30.48,47.37,31842,13
Charley Hull,England,Europe,266.45,72.39,73,29.84,42.25,1084968,18
Charlotte Thomas,England,Europe,238.64,85.7,64.8,29.78,50,108623,20
Chella Choi,Republic of Korea,Asia,246.32,84.98,72.5,29.83,55.26,642856,23
Cheyenne Knight,United States,North America,245.28,83.44,70.4,29.62,41.76,768975,24
Christina Kim,United States,North America,248.49,75.61,64.3,30.38,47.76,27653,19
Cristie Kerr,United States,North America,248.97,64.14,63.4,29.38,51.22,58962,13
